Date,Confirmed,Recovered,Deceased,Tested,DeltaConfirmed,DeltaRecovered,Population,,
20-Apr,0,0,0,0,0,0,0,,
21-Apr,0,0,0,0,0,0,0,,
22-Apr,0,0,0,0,0,0,0,,
23-Apr,0,0,0,0,0,0,0,,
24-Apr,0,0,0,0,0,0,0,,
25-Apr,0,0,0,0,0,0,0,,
26-Apr,528,161,12,0,0,0,0,,
27-Apr,575,195,12,0,47,34,0,,
28-Apr,678,195,13,0,103,0,0,,
29-Apr,772,210,15,0,94,15,0,,
30-Apr,910,214,15,0,138,4,0,,
1-May,1086,222,16,0,176,8,0,,
2-May,1260,223,17,0,174,1,0,,
3-May,1463,250,17,0,203,27,0,,
4-May,1729,267,18,0,266,17,0,,
5-May,2007,319,20,0,278,52,0,,
6-May,2331,330,22,0,324,11,0,,
7-May,2647,339,23,0,316,9,0,,
8-May,3046,374,25,0,399,35,0,,
9-May,3325,545,28,0,279,171,0,,
10-May,3834,639,29,0,509,94,0,,
11-May,4372,706,33,0,538,67,0,,
12-May,4882,749,40,0,510,43,0,,
13-May,5262,749,43,0,380,0,0,,
14-May,5637,758,45,0,375,9,0,,
15-May,5947,783,49,0,310,25,0,,
16-May,6279,1202,52,0,332,419,0,,
17-May,6761,1476,54,0,482,274,0,,
18-May,7125,1600,57,0,364,124,0,,
19-May,7677,1922,59,0,552,322,0,,
20-May,8234,2823,61,0,557,901,0,,
21-May,8801,3048,68,0,567,225,0,,
22-May,9370,3773,70,0,569,725,0,,
23-May,9995,4051,75,0,625,278,0,,
24-May,10582,4844,81,0,587,793,0,,
25-May,11131,5135,87,0,549,291,0,,
26-May,11640,5492,94,0,509,357,0,,
27-May,12202,5800,98,0,562,308,0,,
28-May,12761,6304,109,0,559,504,0,,
29-May,13379,6895,116,0,618,591,0,,
30-May,13995,7321,122,0,616,426,0,,
31-May,14799,7891,132,0,804,570,0,,
1-Jun,15766,8181,141,0,967,290,0,,809
2-Jun,16575,8554,153,0,809,373,0,,1012
3-Jun,17587,9034,153,0,1012,480,0,,1106
4-Jun,18693,9459,167,0,1106,425,0,,1116
5-Jun,19809,10210,179,0,1116,751,0,,1184
6-Jun,20993,10572,198,0,1184,362,0,,1156
7-Jun,22149,10954,213,0,1156,382,0,,1149
8-Jun,23298,11256,225,0,1149,302,0,,1247
9-Jun,24545,11730,241,0,1247,474,0,,1392
10-Jun,25937,12591,257,0,1392,861,0,,1461
11-Jun,27398,13808,276,0,1461,1217,0,,1526
12-Jun,28924,14723,291,0,1526,915,0,,1520
13-Jun,30444,15947,314,0,1520,1224,0,,1452
14-Jun,31896,16881,344,0,1452,934,0,,1348
15-Jun,33244,17476,379,0,1348,595,0,,1001
16-Jun,34245,18565,419,0,1001,1089,0,,1311
17-Jun,35556,19027,458,0,1311,462,0,,1514
18-Jun,37070,19686,498,0,1514,659,0,,1257
19-Jun,38327,21098,526,0,1257,1412,0,,1314
20-Jun,39641,21796,556,0,1314,698,0,,1531
21-Jun,41172,22887,598,0,1531,1091,0,,1580
22-Jun,42752,23756,620,0,1580,869,0,,1453
23-Jun,44205,24670,642,0,1453,914,0,,1609
24-Jun,45814,26472,665,0,1609,1802,0,,1836
25-Jun,47650,27986,691,0,1836,1514,0,,2040
26-Jun,49690,28823,727,0,2040,837,0,,2009
27-Jun,51699,31045,773,170701,2009,2222,0,,2063
28-Jun,53762,31858,806,170701,2063,813,0,,2207
29-Jun,55969,33441,843,170701,2207,1583,0,,2358
30-Jun,58327,34828,885,170701,2358,1387,0,,2206
1-Jul,60533,36826,926,170701,2206,1998,0,,2065
2-Jul,62598,38947,961,170701,2065,2121,0,,2091
3-Jul,64689,40111,993,170701,2091,1164,0,,1849
4-Jul,66538,41309,1030,170701,1849,1198,0,,1716
5-Jul,68254,42309,1051,170701,1716,1000,7100000,,1763
6-Jul,70017,44882,1079,170701,1763,2573,7100000,,1213
7-Jul,71230,47735,1117,170701,1213,2853,7100000,,1270
8-Jul,72500,49587,1143,170701,1270,1852,7100000,,1228
9-Jul,73728,52287,1166,170701,1228,2700,7100000,,1241
10-Jul,74969,55156,1193,170701,1241,2869,7100000,,1189
11-Jul,76158,56947,1218,170701,1189,1791,7100000,,1180
12-Jul,77338,58615,1250,170701,1180,1668,7100000,,1235
13-Jul,78573,60694,1274,170701,1235,2079,7100000,,1089
14-Jul,79662,62552,1292,170701,1089,1858,7100000,,1299
15-Jul,80961,64036,1315,170701,1299,1484,7100000,,1167
16-Jul,82128,65748,1338,170701,1167,1712,7100000,,
17-Jul,84841.14783,,,,,,,,
18-Jul,86422.72026,,,,,,,,
19-Jul,88004.29269,,,,,,,,
20-Jul,89585.86512,,,,,,,,
21-Jul,91167.43756,,,,,,,,
22-Jul,92749.00999,,,,,,,,
23-Jul,94330.58242,,,,,,,,
24-Jul,95912.15486,,,,,,,,
25-Jul,97493.72729,,,,,,,,
26-Jul,99075.29972,,,,,,,,
27-Jul,100656.8722,,,,,,,,
28-Jul,102238.4446,,,,,,,,
29-Jul,103820.017,,,,,,,,
30-Jul,105401.5895,,,,,,,,
31-Jul,106983.1619,,,,,,,,
1-Aug,108564.7343,,,,,,,,
2-Aug,110146.3068,,,,,,,,
3-Aug,111727.8792,,,,,,,,
4-Aug,113309.4516,,,,,,,,
5-Aug,114891.0241,,,,,,,,
6-Aug,116472.5965,,,,,,,,
7-Aug,118054.1689,,,,,,,,
8-Aug,119635.7414,,,,,,,,
9-Aug,121217.3138,,,,,,,,
10-Aug,122798.8862,,,,,,,,
11-Aug,124380.4586,,,,,,,,
12-Aug,125962.0311,,,,,,,,
13-Aug,127543.6035,,,,,,,,
14-Aug,129125.1759,,,,,,,,
15-Aug,130706.7484,,,,,,,,
16-Aug,132288.3208,,,,,,,,
17-Aug,133869.8932,,,,,,,,
18-Aug,135451.4657,,,,,,,,
19-Aug,137033.0381,,,,,,,,
20-Aug,138614.6105,,,,,,,,
21-Aug,140196.183,,,,,,,,
22-Aug,141777.7554,,,,,,,,
23-Aug,143359.3278,,,,,,,,
24-Aug,144940.9003,,,,,,,,
25-Aug,146522.4727,,,,,,,,
26-Aug,148104.0451,,,,,,,,
27-Aug,149685.6176,,,,,,,,
28-Aug,151267.19,,,,,,,,
29-Aug,152848.7624,,,,,,,,
30-Aug,154430.3349,,,,,,,,
31-Aug,156011.9073,,,,,,,,
1-Sep,157593.4797,,,,,,,,
2-Sep,159175.0522,,,,,,,,
3-Sep,160756.6246,,,,,,,,
4-Sep,162338.197,,,,,,,,
5-Sep,163919.7695,,,,,,,,
6-Sep,165501.3419,,,,,,,,
7-Sep,167082.9143,,,,,,,,
8-Sep,168664.4868,,,,,,,,
9-Sep,170246.0592,,,,,,,,
10-Sep,171827.6316,,,,,,,,
11-Sep,173409.2041,,,,,,,,
12-Sep,174990.7765,,,,,,,,
13-Sep,176572.3489,,,,,,,,
14-Sep,178153.9214,,,,,,,,
15-Sep,179735.4938,,,,,,,,
16-Sep,181317.0662,,,,,,,,
17-Sep,182898.6387,,,,,,,,
18-Sep,184480.2111,,,,,,,,
19-Sep,186061.7835,,,,,,,,
20-Sep,187643.356,,,,,,,,
21-Sep,189224.9284,,,,,,,,
22-Sep,190806.5008,,,,,,,,
23-Sep,192388.0733,,,,,,,,
24-Sep,193969.6457,,,,,,,,
25-Sep,195551.2181,,,,,,,,
26-Sep,197132.7906,,,,,,,,
27-Sep,198714.363,,,,,,,,
28-Sep,200295.9354,,,,,,,,
29-Sep,201877.5079,,,,,,,,
30-Sep,203459.0803,,,,,,,,
1-Oct,205040.6527,,,,,,,,
2-Oct,206622.2252,,,,,,,,
3-Oct,208203.7976,,,,,,,,
4-Oct,209785.37,,,,,,,,
5-Oct,211366.9425,,,,,,,,
6-Oct,212948.5149,,,,,,,,
7-Oct,214530.0873,,,,,,,,
8-Oct,216111.6598,,,,,,,,
9-Oct,217693.2322,,,,,,,,
10-Oct,219274.8046,,,,,,,,
11-Oct,220856.3771,,,,,,,,
12-Oct,222437.9495,,,,,,,,
13-Oct,224019.5219,,,,,,,,
14-Oct,225601.0944,,,,,,,,
15-Oct,227182.6668,,,,,,,,
16-Oct,228764.2392,,,,,,,,
17-Oct,230345.8117,,,,,,,,
18-Oct,231927.3841,,,,,,,,
19-Oct,233508.9565,,,,,,,,
20-Oct,235090.529,,,,,,,,
21-Oct,236672.1014,,,,,,,,
22-Oct,238253.6738,,,,,,,,
23-Oct,239835.2463,,,,,,,,
24-Oct,241416.8187,,,,,,,,
25-Oct,242998.3911,,,,,,,,
26-Oct,244579.9636,,,,,,,,
27-Oct,246161.536,,,,,,,,
28-Oct,247743.1084,,,,,,,,
29-Oct,249324.6809,,,,,,,,
30-Oct,250906.2533,,,,,,,,
31-Oct,252487.8257,,,,,,,,
1-Nov,254069.3981,,,,,,,,
2-Nov,255650.9706,,,,,,,,
3-Nov,257232.543,,,,,,,,
4-Nov,258814.1154,,,,,,,,
5-Nov,260395.6879,,,,,,,,
6-Nov,261977.2603,,,,,,,,
7-Nov,263558.8327,,,,,,,,
8-Nov,265140.4052,,,,,,,,
9-Nov,266721.9776,,,,,,,,
10-Nov,268303.55,,,,,,,,
11-Nov,269885.1225,,,,,,,,
12-Nov,271466.6949,,,,,,,,
13-Nov,273048.2673,,,,,,,,
14-Nov,274629.8398,,,,,,,,
15-Nov,276211.4122,,,,,,,,
16-Nov,277792.9846,,,,,,,,
17-Nov,279374.5571,,,,,,,,
18-Nov,280956.1295,,,,,,,,
19-Nov,282537.7019,,,,,,,,
20-Nov,284119.2744,,,,,,,,
21-Nov,285700.8468,,,,,,,,
22-Nov,287282.4192,,,,,,,,
23-Nov,288863.9917,,,,,,,,
24-Nov,290445.5641,,,,,,,,
25-Nov,292027.1365,,,,,,,,
26-Nov,293608.709,,,,,,,,
27-Nov,295190.2814,,,,,,,,
28-Nov,296771.8538,,,,,,,,
29-Nov,298353.4263,,,,,,,,
30-Nov,299934.9987,,,,,,,,
1-Dec,301516.5711,,,,,,,,
2-Dec,303098.1436,,,,,,,,
3-Dec,304679.716,,,,,,,,
4-Dec,306261.2884,,,,,,,,
5-Dec,307842.8609,,,,,,,,
6-Dec,309424.4333,,,,,,,,
7-Dec,311006.0057,,,,,,,,
8-Dec,312587.5782,,,,,,,,
9-Dec,314169.1506,,,,,,,,
10-Dec,315750.723,,,,,,,,
11-Dec,317332.2955,,,,,,,,
12-Dec,318913.8679,,,,,,,,
13-Dec,320495.4403,,,,,,,,
14-Dec,322077.0128,,,,,,,,
15-Dec,323658.5852,,,,,,,,
16-Dec,325240.1576,,,,,,,,
17-Dec,326821.7301,,,,,,,,
18-Dec,328403.3025,,,,,,,,
19-Dec,329984.8749,,,,,,,,
20-Dec,331566.4474,,,,,,,,
21-Dec,333148.0198,,,,,,,,
22-Dec,334729.5922,,,,,,,,
23-Dec,336311.1647,,,,,,,,
24-Dec,337892.7371,,,,,,,,
25-Dec,339474.3095,,,,,,,,
26-Dec,341055.882,,,,,,,,
27-Dec,342637.4544,,,,,,,,
28-Dec,344219.0268,,,,,,,,
29-Dec,345800.5993,,,,,,,,
30-Dec,347382.1717,,,,,,,,
31-Dec,348963.7441,,,,,,,,
